left_shoulder_elbow_wrist_angle,right_shoulder_elbow_wrist_angle,label
174.22222822224214,177.21334582118465,position_up
174.49778992836016,177.70778847225202,position_up
158.73052503524738,170.90496227290225,position_up
177.1938549376211,166.12451134646543,position_up
174.8141468718528,171.43747754737566,position_up
179.13200462634234,175.99502634080275,position_up
178.504523718438,151.1143576444386,position_up
177.4921417510393,160.829954673259,position_up
179.11370051149626,165.91228922564142,position_up
134.15805742775106,151.18599123343796,position_up
179.02499595493018,167.32123004922386,position_up
146.1291195303744,178.38480801240402,position_up
171.89040235111887,174.89774724787802,position_up
174.6582070993966,170.95106525847905,position_up
147.30161101583124,140.48903596820472,position_up
139.54453850779007,162.12388574215242,position_up
124.07469441257047,169.80093110114024,position_up
84.32582559665751,176.9993162100159,position_down
152.48814858080553,175.59851600584827,position_down
88.0515022126011,105.07790584719157,position_down
169.0875848738511,120.94434549350002,position_down
64.46896630245031,138.8789935069108,position_down
82.60836636270113,151.8995991116254,position_down
82.60836636270113,151.8995991116254,position_down
39.79028764225625,108.45492995484068,position_down
39.79028764225625,108.45492995484068,position_down
60.27915287837693,37.82261953505665,position_down
69.6545138617149,29.935393034149257,position_down
75.42884938503975,136.82200761276573,position_down
