shoulder_hip_dist,hip_knee_dist,elbow_angle,label
0.28764903779965745,0.19969648993522085,129.83087940010898,position_down
0.13501283293147576,0.12001827743652285,96.02234563806195,position_down
0.22643057315791384,0.1572216765308935,88.393986078871,position_down
0.18198198501635054,0.022974474789755547,37.50241560937462,position_down
0.1987735671606644,0.03376020465971999,37.70317303037263,position_down
0.17622108717886892,0.07083155194763611,100.93058120634632,position_down
0.13562389592056662,0.08486323598606073,86.04992530298492,position_down
0.19826793406593735,0.1084133060553699,160.17568849587343,position_down
0.3061804230168778,0.12513780403715938,33.617878259083625,position_down
0.07491692562346434,0.09559568774413411,164.46728487131915,position_up
0.09999347549704507,0.11395114506156107,174.84331971505912,position_up
0.09179341214248757,0.26391044519512086,159.1328576213309,position_up
0.1008736571913764,0.20521996337076917,170.73683785916398,position_up
0.2067018716683344,0.06646178335518016,174.67543715340918,position_up
0.1665496959939767,0.07827723806577817,152.37331375965314,position_up
0.1634750307638605,0.13996580946076048,176.36604791037337,position_up
0.23150263147830744,0.21514762759652778,160.44452819809297,position_up
0.20619915186656113,0.048936053700829873,177.44623675338386,position_up
0.2554401854078974,0.13804224221006617,121.45444815291502,position_up
0.15960727040563613,0.05884105251124041,163.2779437741064,position_up
0.203263817240091,0.07125815547020938,137.5310209182329,position_up
0.12008482558932991,0.16144038746809108,155.74052508251768,position_up
0.12048577914635139,0.10907153307240727,172.36011000529857,position_up
0.20585985950517263,0.01697827217198773,169.16355033973494,position_up
0.1231931559136567,0.1824300643974035,159.9573490732461,position_up
